artistName,trackName,total_mins_played,total_streams
Family of the Year,Hero,1.25,4
Faye Webster,Car Therapy,10.83,4
Feng Suave,Sink into the Floor,4.75,4
Field Medic,i want you so bad it hurts,9.19,4
Foster The People,Pumped Up Kicks,14.71,4
Frank Ocean,Cayendo (Side A - Acoustic),3.44,4
Gorillaz,Feel Good Inc.,12.42,4
Gotye,Somebody That I Used To Know,10.22,4
HAIM,Falling,16.24,4
Haley Heynderickx,No Face,4.29,4
HalfNoise,Know the Feeling,7.99,4
JAY-Z,Murder To Excellence,9.95,4
JAY-Z,Numb / Encore,5.45,4
Jake Owen,Beachin',1.66,4
James Bay,Let It Go,0.79,4
James Blake,I Need A Forest Fire,8.69,4
James Blake,Retrograde,3.85,4
Japanese Breakfast,Nobody Sees Me Like You Do,3.94,4
Japanese Breakfast,Skinny Love - Spotify Singles,5.11,4
Jhené Aiko,Bed Peace,0.1,4
Jimmy Eat World,The Middle,1.47,4
Jon Bellion,Woke The F*ck Up,3.2,4
Joyce Manor,Big Lie,9.85,4
Joyce Manor,Friends We Met Online,2.34,4
Joyce Manor,Million Dollars To Kill Me,0.24,4
Joyce Manor,Silly Games,1.51,4
Joyce Manor,Wildflowers,1.93,4
Joyner Lucas,I'm Not Racist,0.18,4
Kainalu,How Do I Let Go of You,8.34,4
Kanye West,Good Life,9.93,4
Kanye West,Homecoming,6.71,4
KennyHoopla,Waves//,2.35,4
Kid Cudi,Day 'N' Nite (nightmare),10.11,4
LANY,Hurts,12.73,4
Leith Ross,We'll Never Have Sex,3.68,4
Linkin Park,Iridescent,5.29,4
Lizzy McAlpine,Apple Pie,12.96,4
Local Natives,When Am I Gonna Lose You,10.36,4
Lomelda,Interstate Vision,8.31,4
Lomelda,Talk,4.38,4
Lucy Dacus,Partner In Crime - Spotify Singles,4.18,4
Lunar Vacation,Swimming,18.68,4
M e a d o w,Leaves,7.46,4
M83,Midnight City,8.77,4
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),5.83,4
Maggie Rogers,Begging for Rain,9.07,4
Maggie Rogers,Color Song,2.66,4
Maggie Rogers,Want Want,8.58,4
Mallrat,Groceries,6.84,4
Mallrat,Sunglasses,0.44,4
Man Overboard,"Love Your Friends, Die Laughing",4.77,4
Manchester Orchestra,The Gold,7.85,4
Marcos Menchaca,Viernes 13,10.27,4
Men I Trust,Numb,7.36,4
Mocki,Weekend - Jai Wolf Remix,4.22,4
My Chemical Romance,Teenagers,3.3,4
NEIL FRANCES,Tell Me,3.39,4
Nickelback,How You Remind Me,10.57,4
No Rome,1:45AM (feat. Bearface),6.76,4
No Rome,Do It Again,11.6,4
No Rome,Pink,13.88,4
No Rome,Seventeen,18.39,4
No Rome,Talk Nice,11.46,4
Noah Kahan,Come Over,13.2,4
Noah Kahan,Halloween,11.8,4
Noah Kahan,Orange Juice,10.44,4
Orions Belte,Le Mans,11.38,4
Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,11.99,4
Paramore,26,14.12,4
Paramore,The Only Exception,7.86,4
Paramore,Told You So,12.71,4
Paramore,crushcrushcrush,6.4,4
Parker McCollum,Meet You in the Middle,8.74,4
Passion Pit,Lifted Up (1985),7.66,4
Pharrell Williams,Cash In Cash Out,10.85,4
Pinegrove,"Amulets/Light On (Amperland, NY)",5.12,4
Pinegrove,"Need (Amperland, NY)",0.88,4
Pinegrove,"No Drugs (Amperland, NY)",11.24,4
Pinegrove,Portal,5.07,4
Pinegrove,"Skylight (Amperland, NY)",7.01,4
Pinegrove,"Spiral (Amperland, NY)",1.99,4
Pinegrove,"The Alarmist (Amperland, NY)",16.24,4
PinkPantheress,Nineteen,2.44,4
Pity Party (Girls Club),I hope that you think of me,6.7,4
Rad Horror,Benzos and Cigarettes,4.42,4
Rainbow Kitten Surprise,Goodnight Chicago,11.75,4
Rainbow Kitten Surprise,Mr. Redundant,6.07,4
Remi Wolf,Down The Line,1.7,4
SG Lewis,Better,2.1,4
SZA,Good Days,11.56,4
SZA,Normal Girl,10.39,4
SZA,Supermodel,9.19,4
Sjowgren,Snow White,2.16,4
"Slaughter Beach, Dog",Friend Song - Audiotree Live Version,0.23,4
"Slaughter Beach, Dog",Just Like Me,8.55,4
Snail Mail,Deep Sea,4.84,4
Snail Mail,Glory,8.12,4
Spark Alaska,Hidden Edelweiss,7.91,4
Speak,Itt Tech,0.47,4
Stone Sour,Through Glass,10.48,4
Surf Curse,Goth Babe,9.93,4
TABAL,An Unknown Journey,7.14,4
TRSH,Dad Rock,9.19,4
TRSH,"Hey Garth, Where's Your Dookie?",4.54,4
TV Girl,Pretty Boy,6.68,4
Tame Impala,Beverly Laurel,8.66,4
Tame Impala,Let It Happen,31.16,4
Tame Impala,List Of People (To Try And Forget About),14.04,4
Tame Impala,Sundown Syndrome,17.52,4
Tame Impala,Why Won't They Talk To Me?,14.77,4
Taylor Swift,Maroon,7.06,4
Taylor Swift,This Love (Taylor’s Version),0.9,4
Team Astro,When We Speak,7.91,4
The 1975,Chocolate - Jonas LR Remix,4.22,4
The 1975,"Love Me - Live From The O2, London. 16.12.16",11.08,4
The 1975,Talk! - Hackman Remix,0.25,4
The Aubreys,No Offerings,9.49,4
The Backseat Lovers,Maple Syrup,4.39,4
The Band CAMINO,My Thoughts On You,5.68,4
The Chainsmokers,Closer,9.2,4
The Front Bottoms,Hello World,13.55,4
The Front Bottoms,The Bongo Song,6.03,4
The Glorious Sons,Everything Is Alright,4.62,4
The Japanese House,You Seemed so Happy,4.58,4
The Lumineers,Stubborn Love,2.47,4
The Maine,Everything I Ask For,6.62,4
The Marías,...baby one more time,3.67,4
The Marías,ABQ,14.34,4
The Marías,All I Really Want Is You,6.53,4
The Marías,Care For You,3.78,4
The Marías,I Like It,10.21,4
The Neighbourhood,Sweater Weather,12.1,4
The Postal Service,The District Sleeps Alone Tonight - Remastered,11,4
The Smiths,Asleep - 2011 Remaster,11.31,4
The Smiths,Bigmouth Strikes Again - 2011 Remaster,12.22,4
The Smiths,How Soon Is Now? - 2011 Remaster,12.53,4
The Undercover Dream Lovers,Can't You Just See,0.8,4
The Undercover Dream Lovers,You Don't Have to be Lonely,11.19,4
The Weeknd,The Morning,6.7,4
The Weeknd,Wicked Games,0.22,4
Towerz,Slept Alone,11.46,4
Trent Reznor and Atticus Ross,A Familiar Taste,9.57,4
Trent Reznor and Atticus Ross,In Motion,19.38,4
Turnover,Humblest Pleasures,3.63,4
Turnover,Myself in the Way,10.32,4
Turnover,Seedwong,3.57,4
Turnover,Sending Me Right Back,7.2,4
Twenty One Pilots,Car Radio,13.8,4
Twenty One Pilots,Semi-Automatic,10.09,4
Twenty One Pilots,Stressed Out,3.58,4
Twenty One Pilots,The Run and Go,12.91,4
Twenty One Pilots,Trees,13.42,4
"Tyler, The Creator",French (feat. Hodgy),12.77,4
Vazquez Sounds,Volverte a Ver,9.68,4
Wallows,Nobody Gets Me (Like You),7.09,4
Wallows,Pictures of Girls,8.91,4
Weezer,Island In The Sun,12.92,4
Zimmer,Dani,4.08,4
amies,It's Getting Late,9.87,4
beabadoobee,Last Day On Earth,4.1,4
beabadoobee,Talk,5.46,4
beabadoobee,tinkerbell is overrated feat. PinkPantheress,8.65,4
blackbear,dirty laundry,3.05,4
blink-182,All The Small Things,0.12,4
blink-182,I Miss You,6.52,4
boygenius,Souvenir,9.76,4
chloe moriondo,Bugbear,3.47,4
fanclubwallet,Coming Over,10.43,4
fanclubwallet,Hurt Is Boring,4,4
fanclubwallet,Toast,9.8,4
feeble little horse,Chores,6.66,4
fourwalls,Smile From A Friend,7.82,4
girl in red,hornylovesickmess,9,4
girl in red,it would feel like this,2.76,4
illuminati hotties,Declutter,1.32,4
spookyghostboy,Out of Sight,0.81,4
"""Weird Al"" Yankovic","White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)",5.67,3
070 Shake,Guilty Conscience - Tame Impala Remix,4.81,3
A Day To Remember,Paranoia,3.46,3
A Rocket To The Moon,Like We Used To,4.31,3
Aaron West and The Roaring Twenties,Our Apartment,4.04,3
All Time Low,Sleeping In,8.09,3
Alvvays,Forget About Life,7.17,3
Alvvays,Tom Verlaine,6.97,3
American Football,Give Me the Gun,7.31,3
American Football,I Can't Feel You (feat. Rachel Goswell),4.89,3
American Football,I Need a Drink (or Two or Three),5.43,3
American Football,"Intro - Live at the Blind Pig, Champaign, IL, 1997",0.82,3
American Football,The One With The Wurlitzer,7.43,3
American Football,"Untitled #3 - Boombox Practice Session, 1998",8.78,3
Anna of the North,Sway - Chainsmokers Remix,3.13,3
Arlo Parks,Cola,5.82,3
Arrowsmith,Motion,1.05,3
Avril Lavigne,Girlfriend,3.74,3
Babygirl,I Wish I Never Met You,7.9,3
Bad Bunny,Aguacero,0.11,3
Bad Bunny,Me Porto Bonito,5.98,3
Bad Bunny,Moscow Mule,5.54,3
Baird,Lightning Of July,3.03,3
Bakar,Hell N Back,9.36,3
Barrie,Casino Run,0.77,3
Barrie,Chinatown,0.14,3
Barrie,Darjeeling,0.23,3
Barrie,Habits,0.57,3
Barrie,Saturated,0.16,3
Baths,Aminals,3.48,3
Beach Bunny,Blame Game,7.71,3
Beach Bunny,Entropy,6.33,3
Beach Fossils,Agony,6.84,3
Beach Fossils,Sleep Apnea,4.97,3
Ben Howard,Promise,0.45,3
Benjamin Francis Leftwich,Don't Go Slow,0.53,3
Blondshell,Olympus,7.99,3
Blue Swede,Hooked On A Feeling,0.71,3
Blurred Figures,snowfall,7.8,3
Bon Iver,715 - CR∑∑KS,4.6,3
Bon Iver,Calgary,8.83,3
Bon Iver,Creature Fear,11.29,3
Bon Iver,"Hinnom, TX",8.25,3
Bon Iver,Second Nature,0.39,3
Bon Iver,Team,4.86,3
Boys Like Girls,Hero / Heroine - Tom Lord-Alge Mix,5.73,3
Brand New,Jesus Christ,14.94,3
Breakfast,Radio,7.17,3
C418,Death,2.07,3
C418,Haggstrom,10.2,3
C418,Oxygène,3.27,3
C418,Équinoxe,5.73,3
CHVRCHES,Get Out,4.44,3
Calvin Harris,Feel So Close - Radio Edit,4.4,3
Carly Cosgrove,Sit 'n' Bounce,8.81,3
Casiio,Affection,4.65,3
Chiccote's Beats,Counting Stars,6.39,3
Chinese Football,Electronic Girl,1.57,3
Clairo,Get With U,0.92,3
Clairo,Heaven,7.86,3
Clairo,Pretty Girl,5.98,3
Coco & Clair Clair,Pop Star,6.16,3
Current Joys,Kids,11.93,3
Cute Is What We Aim For,The Curse of Curves,0.16,3
DaniSogen,Adanel,7.06,3
Daughter,Human,4.55,3
Day Wave,Ceremony,4.27,3
Day Wave,On Your Side,8.49,3
Day Wave,Stuck,7.26,3
Dayglow,Fair Game,5.47,3
Dayglow,Junior Varsity,8.43,3
Derek Pope,Small Conversations at Parties,0.32,3
Doja Cat,Woman,2.59,3
Dora Jar,Multiply,6.81,3
DragonForce,Through the Fire and Flames,19.1,3
Drake,Energy,2.06,3
Drake,Under Ground Kings,7.09,3
Drake,We'll Be Fine,7.15,3
ENRA,Consequences,6.21,3
Earl Sweatshirt,EAST,0.22,3
Ed Sheeran,Give Me Love,10.65,3
Ed Sheeran,Small Bump,10.38,3
Ed Sheeran,The A Team,4.51,3
Ed Sheeran,The Man,8.58,3
Ed Sheeran,"You Need Me, I Don't Need You",9.32,3
Emperor X,Erica Western Teleport,3.74,3
Empty Elevator,Elevator Factory,0.52,3
Fall Out Boy,Thnks fr th Mmrs,3.41,3
Field Medic,POWERFUL LOVE,6.62,3
Foo Fighters,Monkey Wrench,1.41,3
Foo Fighters,The Pretender,13.3,3
Forests,Tamago,8.08,3
Forever The Sickest Kids,She's A Lady,6.41,3
Forever The Sickest Kids,Whoa Oh! (Me vs Everyone),4.99,3
Foster The People,Call It What You Want,10.03,3
Foster The People,Waste,6.93,3
Frank Ocean,Moon River,3.2,3
Frank Ocean,Self Control,5.1,3
Frank Ocean,Swim Good,4.57,3
Frankie Cosmos,Young,4.22,3
Free Cake For Every Creature,Around You,4.2,3
Gabby's World,Alone at the Party,6.69,3
Ginger Root,Juban District,7.1,3
Ginger Root,Weather,11.16,3
Ginger Taylor,Yuppie,6.74,3
Glocca Morra,Me + Geniene,8.66,3
Good Kid,Aloe Lite,7.51,3
Goth Babe,Injured Summer,5.59,3
HAIM,The Wire,10.01,3
HBO's The Last of Us Podcast,Episode 1 - “When You're Lost in the Darkness”,41.32,3
HBO's The Last of Us Podcast,Episode 2 - “Infected”,35.43,3
HalfNoise,All That Love Is,0.32,3
Harry Permezel,Bonehead,4.64,3
Hawthorne Heights,Ohio Is For Lovers,6.05,3
Hayley Williams,Pure Love,4.26,3
Her's,Harvey,7.42,3
Her's,She Needs Him,15.2,3
Hit The Lights,Bodybag,6.34,3
Hit The Lights,Make a Run for It,8.41,3
Hot Mulligan,Drink Milk and Run,4.53,3
Hot Mulligan,How Do You Know It’s Not Armadillo Shells?,5.53,3
Hot Mulligan,SPS,2.33,3
Hozier,Swan Upon Leda,4.22,3
Ivy Mono,Festival Grrrl,6.17,3
JAY-Z,Ni**as In Paris,10.98,3
JAY-Z,No Church In The Wild,7.42,3
Jack Stauber,Buttercup,4.34,3
Jai Wolf,Your Way (feat. Day Wave),4.52,3
Japanese Breakfast,Everybody Wants to Love You,2.78,3
Japanese Breakfast,Jimmy Fallon Big!,5.79,3
Japanese Breakfast,Posing For Cars,12.93,3
Japanese Breakfast,Savage Good Boy,2.85,3
Japanese Breakfast,This House,3.42,3
Jelani Aryeh,Stella Brown,3.24,3
Joe Vann,Houseplants,7.17,3
Joel Cossette,Fuck You Loneliness,4.74,3
Jon Brion,"Phone Call - From ""Eternal Sunshine of the Spotless Mind""/Score",1.65,3
José González,07.11.11,7.76,3
José González,Cycling Trivialities,23.41,3
José González,El Invento - Choral Version,0.3,3
José González,Horizons,3.54,3
José González,Slow Moves,6.08,3
Joyce Manor,Do You Really Want To Not Get Better?,3.81,3
Joyce Manor,Don't Try,5.01,3
Joyce Manor,Gotta Let It Go,4.64,3
Joyce Manor,NBTSA,2.8,3
Joyce Manor,Up The Punx,1.08,3
Kanisan,Drowning,5.55,3
Kanisan,morning moon,4.6,3
Kanye West,Black Skinhead,5.12,3
Kanye West,Can't Tell Me Nothing,13.3,3
Kanye West,Devil In A New Dress,7.74,3
Kanye West,Father Stretch My Hands Pt. 1,4.75,3
Kanye West,I Wonder,4.97,3
Kanye West,Runaway,19.22,3
Kanye West,Stronger,13.92,3
Kendrick Lamar,BLOOD.,4.04,3
Kendrick Lamar,ELEMENT.,6.99,3
Kendrick Lamar,HUMBLE.,3.8,3
Kendrick Lamar,LOVE. FEAT. ZACARI.,8.95,3
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,11.37,3
Kendrick Lamar,YAH.,5.35,3
Kindling,Pantone Blue,3.18,3
Korn,Get Up! (feat. Skrillex),1.12,3
Kumbia Kings,Sabes A Chocolate,5.35,3
Laffey,Forest Friends,9.51,3
Linkin Park,Given Up,3.21,3
Lizzy McAlpine,...What Are We?,7.29,3
Lizzy McAlpine,Angelina,5.59,3
Lizzy McAlpine,In Agreement,7.58,3
Lizzy McAlpine,erase me (feat. Jacob Collier),7.24,3
Lomelda,Bust,3.39,3
Lomelda,Hannah Sun,10.41,3
Long Beard,Countless,3.13,3
Lorde,Royals,9.34,3
Lucid Keys,Haunted Dreams,6.55,3
Luna Luna,One Thing,0.04,3
Lunar Vacation,Anna,8.55,3
Lunar Vacation,Unlucky,7.36,3
Lynyrd Skynyrd,Free Bird,18.89,3
MUNA,Loose Garment,4.13,3
Mac Miller,Kool Aid & Frozen Pizza,2.68,3
Maggie Rogers,Be Cool,5.91,3
Maggie Rogers,Horses,5.92,3
Maggie Rogers,I've Got a Friend,3.28,3
Maggie Rogers,Tim McGraw - Recorded At Spotify Studios NYC,2.53,3
Magic Man,Paris,3.95,3
Mallrat,For Real,1.34,3
Mallrat,Suicide Blonde,0.25,3
Mallrat,Tokyo Drift,5.25,3
Mallrat,UFO,2.11,3
Mallrat,Uninvited,5.58,3
Manwolves,Reaper,8.33,3
Mat Kerekes,20**,7.79,3
Matt and Kim,Daylight,0.3,3
Matthew Mole,You & Your Crown,6.77,3
Men I Trust,Sugar,5.92,3
Metro Station,Seventeen Forever,4.77,3
Miguel,Sure Thing,1.45,3
Mitski,First Love/Late Spring,3.1,3
Miya Folick,Ordinary,5.81,3
Moose Blood,Cherry,3.3,3
Movements,Daylily,10.44,3
Neon Trees,Animal,5.2,3
Nickelback,Far Away,10.37,3
Nicki Minaj,Super Bass,0.91,3
No Rome,Cashmoney,9.69,3
No Rome,I Want U,7.39,3
No Rome,Saint Laurent,11.52,3
No Rome,Trust3000 (feat. Dijon),2.23,3
Noah Kahan,New Perspective,12.84,3
Nogymx,Fading Mirage,4.08,3
Oliver Chang,Beacon,8.4,3
One Direction,Stockholm Syndrome,5.32,3
PUBLIC,Pretty Face,4.05,3
Panic! At The Disco,But It's Better If You Do,5.85,3
Panic! At The Disco,Intermission,2.64,3
Paramore,Brick by Boring Brick,8.55,3
Paramore,Caught in the Middle,7.27,3
Paramore,C’est Comme Ça,3.73,3
Paramore,Forgiveness,10.98,3
Paramore,Ignorance,5.11,3
Paramore,Interlude: I'm Not Angry Anymore,1.31,3
Paramore,Pool,7.86,3
Paramore,Running Out Of Time,6.41,3
Paramore,The News,6.64,3
Passenger,The Wrong Direction,7.39,3
Passion Pit,Sleepyhead,8.73,3
Peach Pit,2015,5.18,3
Peach Pit,Being so Normal,4.58,3
Peach Pit,Live at the Swamp,5.55,3
Pearl Jam,Even Flow,10.23,3
Phlocalyst,Kukui Leaves,8.04,3
Phoebe Bridgers,Day After Tomorrow,7,3
Phoebe Bridgers,Summer's End - Spotify Singles,8,3
Phoenix,If I Ever Feel Better,5.09,3
Pictures of Vernon,Camp Games 1.1,4.18,3
Pinegrove,Amulets,1.09,3
Pinegrove,Easy Enough,4.07,3
Pinegrove,Light On,7.32,3
Pinegrove,Mather Knoll,4.91,3
Pinegrove,Namesake,3.12,3
Pinegrove,Over My Shoulder,7.2,3
Pinegrove,"Overthrown (Amperland, NY)",1.82,3
Pinegrove,Palisade,6.14,3
Pinegrove,"Phase (Amperland, NY)",3.27,3
Pinegrove,Then Again,5.3,3
PinkPantheress,Just for me - El Guincho Remix,3.81,3
PinkPantheress,Noticed I cried - Flume Remix,4.06,3
PinkPantheress,Reason - Jarreau Vandal Remix,2.88,3
Plastic Bertrand,Ça plane pour moi,6.33,3
Poison,Talk Dirty To Me,4.41,3
Post Malone,Circles,13.31,3
Post Malone,Go Flex,8.44,3
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,9.61,3
Powfu,death bed (coffee for your head),2.95,3
Purrple Cat,Alone Time,5.43,3
Raimu,Despite the Pain,2.53,3
Rainbow Kitten Surprise,Black and White,9.33,3
Rainbow Kitten Surprise,Fever Pitch,5.02,3
Rainbow Kitten Surprise,Wasted,3.84,3
Rarity,Exhale,4.34,3
Rebecka Reinhard,Pisces,5.64,3
Rise Against,Like the Angel,5.87,3
Rise Against,Prayer Of The Refugee,3.63,3
Ritt Momney,HEADSTART,7.77,3
Rob Simonsen,Night Drive,1.97,3
Roy Blair,Dennis,3.41,3
Russ,Losin Control,0.13,3
SALES,White Jeans,6.13,3
SG Lewis,Throwaway (with Clairo),3.76,3
SZA,Pretty Little Birds (feat. Isaiah Rashad),11.21,3
SZA,Wavy (Interlude) (feat. James Fauntleroy),1.43,3
San Holo,thoughts and chemicals,6.38,3
Science Vs,Trans Kids: The Misinformation Battle,50.29,3
Secondhand Serenade,It's Not Over - Remastered,3.02,3
Seether,Broken,3.92,3
Seoul,Stay With Us,0.1,3
Sjowgren,Seventeen,9.24,3
"Slaughter Beach, Dog",104 Degrees - Audiotree Live Version,8.14,3
"Slaughter Beach, Dog",Building the Ark - Audiotree Live Version,8.53,3
"Slaughter Beach, Dog",Gold and Green - Audiotree Live Version,6.17,3
"Slaughter Beach, Dog",Parole Song,2.37,3
"Slaughter Beach, Dog",Pretty O.K. - Audiotree Live Version,8.88,3
Sleeping With Sirens,Scene Four - Don't You Ever Forget About Me,5.43,3
Sleeping With Sirens,Scene Three - Stomach Tied In Knots,1.15,3
Sleeping With Sirens,Scene Two - Roger Rabbit,3.48,3
Slipknot,Nero Forte,0.7,3
Slipknot,People = Shit,6.44,3
Slow Joy,Soft Slam,5.63,3
Slow Pulp,New Horse,4.1,3
Small Leaks Sink Ships,Bloom,7.94,3
Snail Mail,Valentine,0.46,3
Sorority Noise,Mononokay,5.28,3
Sufjan Stevens,The Predatory Wasp of the Palisades Is Out to Get Us!,0.11,3
Sum 41,Still Waiting,2.75,3
TRSH,Midwest City,6.66,3
TRSH,Taco Tuesday,5.85,3
TRSH,Take Me Back,8.39,3
TRSH,Worst Summer Ever,5.33,3
TV Girl,Cigarettes out the Window,4.79,3
TYSM,Honeymoon Phase,3.87,3
TYSM,Wraith,0.3,3
Tame Impala,Alter Ego,10.1,3
Tame Impala,Endors Toi,9.33,3
Tame Impala,Eventually,15.93,3
Tame Impala,Half Full Glass Of Wine,13.35,3
Tame Impala,It Is Not Meant To Be,16.08,3
Tame Impala,It Might Be Time,10.4,3
Tame Impala,Lucidity,13.59,3
Tame Impala,Posthumous Forgiveness,14.58,3
Tame Impala,Powerlines,8.85,3
Tame Impala,Remember Me,4.68,3
Tame Impala,The Boat I Row,11.91,3
Tame Impala,The Moment,12.78,3
Taylor Swift,22 (Taylor's Version),11.54,3
Taylor Swift,All You Had To Do Was Stay,3.25,3
Taylor Swift,Back To December,3.48,3
Taylor Swift,Bad Blood,3.61,3
Taylor Swift,Carolina - From The Motion Picture “Where The Crawdads Sing”,0.47,3
Taylor Swift,Look What You Made Me Do,0.13,3
Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),6.27,3
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),5.02,3
Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),9.02,3
Taylor Swift,willow,3.95,3
The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it - Live From The O2, London. 16.12.16",13.97,3
The 1975,"Loving Someone - Live From The O2, London. 16.12.16",12.2,3
The 1975,"Milk - Live From The O2, London. 16.12.16",6.77,3
The 1975,Nana,6.31,3
The 1975,Pressure - Artful Remix,4.75,3
The 1975,"The 1975 - Live From The O2, London. 16.12.16",4.65,3
The 1975,"UGH! - Live From The O2, London. 16.12.16",7.26,3
The Alchemist,E. Coli (feat. Earl Sweatshirt),0.21,3
The All-American Rejects,Gives You Hell,10.33,3
The Cab,One Of THOSE Nights,3.96,3
The Daily,27 Years in Solitary Confinement,22.67,3
The Girl Talk,Heroin Chic,8.34,3
The Killers,Mr. Brightside,6.5,3
The Lumineers,Flowers in Your Hair,1.96,3
The Maine,Listen to Your Heart,4.11,3
The Marías,Clueless,5.86,3
The Marías,Hold It Together,3.93,3
The Marías,Superclean,5.23,3
The Samples,Could It Be Another Change,5.31,3
The Script,Hall of Fame (feat. will.i.am),6.77,3
The Shins,Australia,9.91,3
The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",0.37,3
The Smiths,Pretty Girls Make Graves - 2011 Remaster,2.97,3
The Smiths,Unloveable - 2017 Master,4.5,3
The Strokes,Hard To Explain,3.88,3
The Wombats,I Don't Know Why I Like You but I Do,0.12,3
Thirty Seconds To Mars,Kings And Queens,11.06,3
Thirty Seconds To Mars,The Kill,7.47,3
Thundercat,Them Changes,3.88,3
Tim Atlas,Compromised,8.46,3
Tim McGraw,Shotgun Rider,2.29,3
Timbaland,The Way I Are,3.72,3
Towerz,Aimless Wander,7.68,3
Train,50 Ways to Say Goodbye,0.09,3
Train,Drive By,3.8,3
Transviolet,New Bohemia,0.29,3
Trent Reznor and Atticus Ross,It Catches up With You,3.46,3
Turnover,Bella Donna,1.8,3
Turnover,Change Irreversible,7.24,3
Turnover,Disintegration,4.43,3
Turnover,Much After Feeling,10.77,3
Turnover,Number On The Gate,12.39,3
Turnover,Read My Mind,0.85,3
Turnover,Sasha,5.91,3
Twenty One Pilots,Migraine,11.94,3
Twenty One Pilots,Truce,2.72,3
"Tyler, The Creator",IFHY (feat. Pharrell),5.5,3
"Tyler, The Creator",Pigs,0.47,3
"Tyler, The Creator",Sandwitches,9.7,3
Underoath,A Boy Brushed Red Living In Black And White,9.6,3
Underoath,Writing On The Walls,6.01,3
Unknown Artist,Unknown Track,1.51,3
Usher,Yeah! (feat. Lil Jon & Ludacris),7.31,3
Valley Palace,Contact,9.96,3
Valley Palace,Friend,9.87,3
Valley Palace,Shell,10.35,3
Valley Palace,Tapes,9.47,3
Verzache,January,5.07,3
Vincent Mango,São Paulo,4.04,3
Walker Hayes,Fancy Like,0.21,3
Wallice,23,2.9,3
Weezer,Buddy Holly,7.95,3
Wheatus,Teenage Dirtbag,1.47,3
Wifisfuneral,Alone As A Facetat,0.15,3
Wild Party,OutRight,1.07,3
Yasumu,Flowstate,2.67,3
Yves Tumor,Crushed Velvet,4.53,3
bbno$,edamame (feat. Rich Brian),4.68,3
beabadoobee,1999,6.39,3
beabadoobee,Cologne,5.28,3
beabadoobee,If You Want To,11.19,3
beabadoobee,Tired,2.15,3
blackbear,4u,4.05,3
blackbear,idfc,4.14,3
blackbear,weak when ur around,2.89,3
boy pablo,honey,8.82,3
boygenius,True Blue,5.1,3
chloe moriondo,GIRL ON TV,5.04,3
chloe moriondo,Kindergarten,3.09,3
chloe moriondo,nice pup,2.53,3
colleen dow,Lists,3.1,3
colleen dow,Periwinkle,3.07,3
colleen dow,Radiator,5.56,3
dad sports,romeo,5.74,3
eugenio izzi,Never be prey to the winds,7.92,3
fanclubwallet,Jar,6.84,3
fredo disco,saturn suv,2.32,3
girlhouse,the fatalist,13.38,3
redveil,Weight,6.24,3
redveil,morphine (da ways),5.85,3
redveil,new info,5.35,3
redveil,pg baby,7.83,3
sinnr,Cybele,4.4,3
takeo,Blue Moon,6.66,3
takeo,Snow Day,7.56,3
tzelun,See U Soon (Song for Dad),4.62,3
 Friends with Mental Health Benefits,Sarah Jones Simmer — Let Yourself Choose Joy and Gratitude,15.7,2
"""Weird Al"" Yankovic","Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)",5.49,2
"""Weird Al"" Yankovic","Trapped In the Drive-Thru (Parody of ""Trapped In The Closet"" by R. Kelly)",21.7,2
12 Hour Sound Machines (no loops or fades),Autumn Forest on a Windy Day Sound Machine (12 Hours),1.2,2
3OH!3,STARSTRUKK (feat. Katy Perry),2.28,2
A Beacon School,Algernon,4.41,2
A$AP Mob,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",0.37,2
A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),3.09,2
A$AP Rocky,Purity (feat. Frank Ocean),4.4,2
A.B. Quintanilla III Y Los Kumbia Kings,Azúcar,0.08,2
A.B. Quintanilla III Y Los Kumbia Kings,Boom Boom,1.95,2
A.B. Quintanilla III Y Los Kumbia Kings,Na Na Na (Dulce Niña),1.44,2
A.B. Quintanilla III Y Los Kumbia Kings,No Tengo Dinero,0.08,2
AC/DC,Highway to Hell,1.44,2
Aaron Watson,Big Love In A Small Town,1.41,2
Adrianne Lenker,zombie girl,3.26,2
Airiel,In Your Room,0.06,2
Ajmw,Clouds,4.36,2
Akīn,Forward,3.62,2
Akīn,Moondrops,2.35,2
Alacranes Musical,Dame Tu Amor,0.1,2
Aleks Syntek,Duele El Amor!,2.01,2
Alex G,Sarah,2.84,2
Alice Cooper,Poison,0.33,2
Alina Baraz,Lavender and Velvet,0.17,2
All Time Low,Stay Awake (Dreams Only Last For A Night),3.62,2
All Time Low,This Is How We Do,2.49,2
