artistName,trackName,total_mins_played,total_streams
"Slaughter Beach, Dog",Sleepwalking,55.37,33
The 1975,Wintering,82.86,33
Maggie Rogers,Alaska,70.29,32
Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),75.23,32
girl in red,forget her,69.41,32
Joyce Manor,Catalina Fight Song,27.53,31
Pinegrove,Orange,74.34,31
Rainbow Kitten Surprise,Lady Lie,92.37,31
Shelly,Steeeam,52.17,31
"Slaughter Beach, Dog",Glowing,67.46,31
"Slaughter Beach, Dog",Shapes I Know,113.33,31
The 1975,Menswear,87.29,31
The 1975,The Sound,72.42,31
Turnover,Sunshine Type,53.8,31
girl in red,Body And Mind,49.63,31
Bon Iver,Beach Baby,56.66,30
Bon Iver,Holocene,132.51,30
Clairo,Amoeba,97.71,30
Day Wave,See You When The End's Near,97.05,30
Hot Mulligan,BCKYRD,63.67,30
"Slaughter Beach, Dog",Drinks,71.05,30
The 1975,Roadkill,72.63,30
"Tyler, The Creator",NEW MAGIC WAND,68.62,30
dad sports,dog cuddles,55.49,30
girl in red,watch you sleep.,75.39,30
Lord Huron,The Night We Met (feat. Phoebe Bridgers),46.5,29
Modern Baseball,Mass,43.46,29
Modern Baseball,Note To Self,76.62,29
Modern Baseball,The Thrash Particle,61.99,29
PinkPantheress,Pain - Powfu Remix,37.37,29
Rainbow Kitten Surprise,When It Lands,103.81,29
"Slaughter Beach, Dog",Map of the Stars,78.12,29
"Slaughter Beach, Dog",One Down,63.67,29
"Slaughter Beach, Dog",Toronto Mug,40.89,29
The 1975,A Change Of Heart,95.75,29
The 1975,Milk,47.82,29
The Front Bottoms,Twin Size Mattress,57.99,29
"Tyler, The Creator","GONE, GONE / THANK YOU",122.51,29
"Tyler, The Creator",RUNITUP (feat. Teezo Touchdown),97.26,29
Cafuné,Tek It,52.43,28
Pinegrove,Habitat,103.87,28
"Slaughter Beach, Dog",Thinking of You,104.03,28
Still Woozy,Window,52.54,28
The 1975,Me,81.86,28
"Tyler, The Creator",See You Again (feat. Kali Uchis),53.68,28
WILLIS,I Think I Like When It Rains,25.2,28
Alvvays,Easy On Your Own?,42.4,27
Bon Iver,Rosyln,96.61,27
CASTLEBEAT,Telephone,70.38,27
Still Woozy,Cooks,53.75,27
Still Woozy,Get By,58.58,27
Taylor Swift,evermore (feat. Bon Iver),94.57,27
The 1975,Paris,88.99,27
"Tyler, The Creator",A BOY IS A GUN*,57.01,27
"Tyler, The Creator",IGOR'S THEME,65,27
girl in red,You Stupid Bitch,69.81,27
Alvvays,In Undertow,73.73,26
Bon Iver,"Hey, Ma",82.24,26
Day Wave,Starting Again,77.12,26
Modern Baseball,Apartment,43.55,26
PinkPantheress,Boy's a liar,30.92,26
PinkPantheress,Picture in my mind,57.93,26
"Slaughter Beach, Dog",Your Cat,68.45,26
Still Woozy,Vacation,58.02,26
Turnover,Intrapersonal,48.24,26
"Tyler, The Creator",EARFQUAKE,63.67,26
"Tyler, The Creator",I THINK,65.02,26
"Tyler, The Creator",RUNNING OUT OF TIME,68.96,26
fanclubwallet,What's Up,40.81,26
Hot Mulligan,I Fell in Love With Princess Peach,50.2,25
Modern Baseball,Holy Ghost,12.39,25
Modern Baseball,Re-Do,31.96,25
Modern Baseball,The Old Gospel Choir,43.01,25
Peach Pit,Peach Pit,63.97,25
Sjowgren,I Don't Know,49.23,25
"Slaughter Beach, Dog",Jonathan,39.92,25
TV Girl,Lovers Rock,71.96,25
The Lumineers,Sleep On The Floor,66.44,25
"Tyler, The Creator",MANIFESTO (feat. Domo Genesis),49.59,25
dad sports,out 4 a breather,61.11,25
Alvvays,Atop a Cake,69.59,24
CHVRCHES,Clearest Blue,49.9,24
Career Woman,Unfun,37.73,24
Joyce Manor,End of the Summer,25.63,24
Modern Baseball,Coding These To Lukens,24.15,24
Pinegrove,Cadmium,81.66,24
"Slaughter Beach, Dog",Buttercup,94.54,24
The 1975,Happiness (Dance Floor Edit),43.41,24
Turnover,Super Natural,80.78,24
"Tyler, The Creator",EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,4.6,24
Joyce Manor,Falling in Love Again,38.33,23
Modern Baseball,"Fine, Great",32.52,23
Mom Jeans.,Danger Can't,44.31,23
Pinegrove,No Drugs,46.86,23
Pinegrove,Respirate,41.85,23
Pinegrove,The Alarmist,67.49,23
Rainbow Kitten Surprise,Our Song,34.44,23
Sad Cops,Honey,29.32,23
Sidney Gish,I Eat Salads Now,34.55,23
"Slaughter Beach, Dog",Jobs,58.88,23
"Slaughter Beach, Dog",One Day,57.75,23
Still Woozy,Lucy,46.58,23
The 1975,12,26.53,23
The 1975,Antichrist,68.04,23
The 1975,HNSCC,42.21,23
The 1975,She's American,65.74,23
The 1975,Sincerity Is Scary,72.62,23
The 1975,When We Are Together,57.01,23
"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),64.92,23
fanclubwallet,You Have Got to Be Kidding Me,61.74,23
